"FIELD_NUMBER"	"PLOT"	"locus"	"allele"	"freq"
"07-0198"	"Random_01"	"Ob03_1"	94	0.5
"07-0198"	"Random_01"	"Ob03_1"	108	0.5
"07-0198"	"Random_01"	"Ob10_1"	150	0.5
"07-0198"	"Random_01"	"Ob10_1"	158	0.5
"07-0199"	"Random_01"	"Ob12_1"	227	0.5
"07-0199"	"Random_01"	"Ob12_1"	231	0.5
"07-0200"	"Random_01"	"Ob16_1"	130	0.5
"07-0200"	"Random_01"	"Ob16_1"	138	0.5
"07-0206"	"Random_01"	"Ob12_1"	227	0.5
"07-0206"	"Random_01"	"Ob12_1"	231	0.5
"07-0208"	"Random_01"	"Ob10_1"	148	0.5
"07-0208"	"Random_01"	"Ob10_1"	154	0.5
"07-0209"	"Random_01"	"Ob10_1"	148	0.5
"07-0209"	"Random_01"	"Ob10_1"	154	0.5
"07-0001"	"Random_03"	"Ob10_1"	150	0.5
"07-0001"	"Random_03"	"Ob10_1"	154	0.5
"07-0001"	"Random_03"	"Ob04_1"	137	0.5
"07-0001"	"Random_03"	"Ob04_1"	139	0.5
"07-0001"	"Random_03"	"Ob12_1"	231	0.5
"07-0001"	"Random_03"	"Ob12_1"	243	0.5
"07-0001"	"Random_03"	"Ob07_1"	173	0.5
"07-0001"	"Random_03"	"Ob07_1"	181	0.5
"07-0004"	"Random_03"	"Ob12_1"	231	0.5
"07-0004"	"Random_03"	"Ob12_1"	243	0.5
"07-0005"	"Random_03"	"Ob12_1"	231	0.5
"07-0005"	"Random_03"	"Ob12_1"	243	0.5
"07-0006"	"Random_03"	"Ob06_1"	185	0.5
"07-0006"	"Random_03"	"Ob06_1"	191	0.5
"07-0006"	"Random_03"	"Ob07_1"	171	0.5
"07-0006"	"Random_03"	"Ob07_1"	177	0.5
"07-0010"	"Random_03"	"Ob10_1"	148	0.5
"07-0010"	"Random_03"	"Ob10_1"	156	0.5
"07-0018"	"Random_05"	"Ob03_1"	98	0.5
"07-0018"	"Random_05"	"Ob03_1"	108	0.5
"07-0018"	"Random_05"	"Ob10_1"	150	0.5
"07-0018"	"Random_05"	"Ob10_1"	154	0.5
"07-0018"	"Random_05"	"Ob04_1"	137	0.5
"07-0018"	"Random_05"	"Ob04_1"	139	0.5
"07-0018"	"Random_05"	"Ob23_1"	225	0.5
"07-0018"	"Random_05"	"Ob23_1"	238	0.5
"07-0020"	"Random_05"	"Ob10_1"	150	0.5
"07-0020"	"Random_05"	"Ob10_1"	154	0.5
"07-0020"	"Random_05"	"Ob04_1"	137	0.5
"07-0020"	"Random_05"	"Ob04_1"	139	0.5
"07-0020"	"Random_05"	"Ob23_1"	225	0.5
"07-0020"	"Random_05"	"Ob23_1"	238	0.5
"07-0021"	"Random_05"	"Ob03_1"	98	0.5
"07-0021"	"Random_05"	"Ob03_1"	104	0.5
"07-0023"	"Random_05"	"Ob04_1"	137	0.5
"07-0023"	"Random_05"	"Ob04_1"	139	0.5
"07-0023"	"Random_05"	"Ob06_1"	191	0.5
"07-0023"	"Random_05"	"Ob06_1"	193	0.5
"07-0023"	"Random_05"	"Ob23_1"	225	0.5
"07-0023"	"Random_05"	"Ob23_1"	238	0.5
"07-0025"	"Random_05"	"Ob23_1"	225	0.5
"07-0025"	"Random_05"	"Ob23_1"	238	0.5
"07-0026"	"Random_05"	"Ob04_1"	129	0.5
"07-0026"	"Random_05"	"Ob04_1"	137	0.5
"07-0026"	"Random_05"	"Ob16_1"	128	0.5
"07-0026"	"Random_05"	"Ob16_1"	130	0.5
"07-0026"	"Random_05"	"Ob22_1"	167	0.5
"07-0026"	"Random_05"	"Ob22_1"	205	0.5
"07-0026"	"Random_05"	"Ob23_1"	225	0.5
"07-0026"	"Random_05"	"Ob23_1"	238	0.5
"07-0027"	"Random_05"	"Ob22_1"	165	0.5
"07-0027"	"Random_05"	"Ob22_1"	199	0.5
"07-0027"	"Random_05"	"Ob06_1"	191	0.5
"07-0027"	"Random_05"	"Ob06_1"	193	0.5
"07-0027"	"Random_05"	"Ob07_1"	165	0.5
"07-0027"	"Random_05"	"Ob07_1"	177	0.5
"07-0028"	"Random_05"	"Ob23_1"	225	0.5
"07-0028"	"Random_05"	"Ob23_1"	238	0.5
